Opportunity ID,Opportunity Name,Store Address,Store City,Store State,Store Zip,DD Deep Link
0063i000009DfC5,Ruby Tuesday - Elizabeth (NJ),120 International Blvd,Elizabeth,NJ,07201,https://www.doordash.com/store/wow-bao-elizabeth-1447739/
0063i000009DfC6,Ruby Tuesday - Somerset (NJ),250 Davidson Ave.,Somerset,NJ,08873,https://www.doordash.com/store/wow-bao-franklin-township-1450182/en-US
0063i000009DfC7,Ruby Tuesday - Mt. Laurel (NJ),4011 Dearborn Circle,Mt. Laurel,NJ,08054,https://www.doordash.com/store/wow-bao-mount-laurel-township-1441439/
0063i000009DfC8,Ruby Tuesday - Mechanicsville (VA),7425 Bell Creek Road,Mechanicsville,VA,23111,https://www.doordash.com/store/wow-bao-mechanicsville-1412928/
0063i000009DfC9,Ruby Tuesday - Airport Interplex (PA),8680 Bartram Ave,Philadelphia,PA,19153,https://www.doordash.com/store/wow-bao-philadelphia-1413085/en-US
0063i000009DfCA,Ruby Tuesday - Gettysburg (PA),25 Camp Letterman Drive,Gettysburg,PA,17325,https://www.doordash.com/store/wow-bao-gettysburg-1413044/en-US
0063i000009DfCB,Ruby Tuesday - Linthicum (MD),950 International Drive,Linthicum,MD,21090,https://www.doordash.com/store/wow-bao-linthicum-heights-1413067/
0063i000009DfCC,Ruby Tuesday - Shrewsbury (PA),1020 Far Hills Drive,New Freedom,PA,17349,https://www.doordash.com/store/wow-bao-new-freedom-1412521/en-US
0063i000009DfCD,Ruby Tuesday - Frederick Crossing (MD),7385 Guilford Dr,Frederick,MD,21704,https://www.doordash.com/store/wow-bao-frederick-1412642/
0063i000009DfCE,Ruby Tuesday - Hopewell (VA),5107 Oaklawn Blvd.,Hopewell,VA,23860,https://www.doordash.com/store/wow-bao-hopewell-1412490/
0063i000009DfCF,Ruby Tuesday - Elizabeth City (NC),503 Hughes Blvd.,Elizabeth City,NC,27909,https://wowbao.order.online/store/WowBao-1441690/en-US/?hideModal=true&pickup=false
0063i000009DfCG,Ruby Tuesday - Chesapeake - Greenbrier (VA),1412 Greenbrier Pkwy #130,Chesapeake,VA,23320,https://www.doordash.com/store/wow-bao-chesapeake-1447713/en-US
0063i000009DfCH,Ruby Tuesday - Suffolk - Harbour View (VA),6249 College Drive,Suffolk,VA,23435,https://www.doordash.com/store/wow-bao-suffolk-1450158/en-US
0063i000009DfCI,Ruby Tuesday - Tidewater (VA),7725 Tidewater Dr,Norfolk,VA,23505,https://www.doordash.com/store/wow-bao-norfolk-1447826/en-US
0063i000009DfCJ,Ruby Tuesday - Suffolk - Centerbrooke Village (VA),2757 Godwin Blvd.,Suffolk,VA,23434,https://www.doordash.com/store/wow-bao-suffolk-1441479/
0063i000009DQ12,Chipper's Classic Lanes - Greeley (CO),2454 W 8th Ave,Greeley,CO,80631,https://www.doordash.com/store/1464638/en-US/?utm_source=partner-link&utm_medium=website&utm_campaign=1464638
0063i00000BDOAn,REEF Kitchens - Austin (AUS12),2723 S IH 35 Frontage Drive,Austin,TX,78741,https://doordash.com/store/1525690/?utm_campaign=1525690&utm_medium=website&utm_source=partner-link
0063i000009FUEg,Sizzler - Lake Forest (CA),23501 El Toro Rd,Lake Forest,CA,92630,https://www.doordash.com/en-CA/store/wow-bao-lake-forest-1544123
0063i00000BDnDa,Fazoli's - Shawnee (KS),6345 Quivira Road,Shawnee,KS,66216,https://www.doordash.com/store/1712738/?utm_source=partner-link&utm_medium=website&utm_campaign=1712738
0063i00000BDygb,REEF Kitchens - San Francisco (SFO16),1242 35th Ave,Oakland,CA,94601,https://doordash.com/store/1751548/?utm_campaign=1751548&utm_medium=website&utm_source=partner-link
0063i00000BEGzP,Fired Pie - Northern Ave - Phoenix (AZ),1810 W Northern Ave Suite A10,Phoenix,AZ,85021,https://www.doordash.com/en-CA/store/1691031/?utm_source=partner-link&utm_medium=website&utm_campaign=1691031
0063i000009FCsA,Viga Italian Eatery - Clarendon St. (Boston),140 Clarendon Street,Boston,MA,02116,https://www.doordash.com/store/1529934/?utm_source=partner-link&utm_medium=website&utm_campaign=1529934
0063i00000BEGz0,Fired Pie - Gilbert (AZ),2224 E Williams Field Rd,Gilbert,AZ,85285,https://www.doordash.com/en-CA/store/1697022/?utm_source=partner-link&utm_medium=website&utm_campaign=1697022
0063i00000BDrEf,Sizzler - San Diego BMW (CA),4445 Imperial Avenue,San Diego,CA,92113,https://www.doordash.com/store/wow-bao-san-diego-1585430/2101103/en-US/?preview=1
0063i00000BDnBf,"Fazoli's - Austin Bluffs, Colorado Springs (CO)",3607 Austin Bluffs Pkwy,Colorado Springs,CO,80918,https://www.doordash.com/store/1723673/?utm_source=partner-link&utm_medium=website&utm_campaign=1723673
0063i00000BDyeb,REEF Kitchens - Minneapolis (MIN18),1032 3rd Ave NE,Minneapolis,MN,55413,https://doordash.com/store/1715148/?utm_campaign=1715148&utm_medium=website&utm_source=partner-link
